V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_C29,0.0387,0.0008,0.0207,0.0405,0.0059,0.2546,0.0089,0.0085,0.0003,0.0013,0.0011,0.0003,0.0007,0.0039,0.0029,0.0164,0.0384,0.0186,0.0001,0.0178,0.0004,0.0121,0.0438,0.0075,0.2809,0.1793,0.0557,0.0019,0.0008,0.0009,0.0039,0.0051,0.0009,0.0114,0.0008,0.0163,0.0032,0.0025,0.0022,0.0408,0.0013,0.0007,0.0007,0.0067,0.0
LAO_C30,0.0103,0.0016,0.007,0.0129,0.0017,0.0246,0.0016,0.0015,0.0001,0.0003,0.0002,0.0,0.0001,0.0005,0.0002,0.0015,0.0088,0.0027,0.0,0.0039,0.0013,0.0021,0.0068,0.0017,0.0531,0.0332,0.0086,0.0018,0.0009,0.0003,0.0004,0.0009,0.0003,0.0009,0.0,0.0031,0.0004,0.0005,0.0004,0.0184,0.0003,0.0001,0.0003,0.0049,0.0
LAO_C31T33,6.3421,2.277,0.366,0.7401,0.1128,1.8194,0.3907,0.2569,0.0084,0.0308,0.0272,0.0063,0.0093,0.0642,0.0121,0.0418,0.0104,0.0062,0.0002,0.006,0.0029,0.0755,1.0944,0.8865,0.4776,0.9085,0.3896,0.1067,0.0978,0.0202,0.0125,0.1777,0.0088,0.1275,0.0081,0.3074,0.4834,0.0645,0.0335,0.5957,0.0302,0.0251,0.0201,0.0466,0.0
LAO_D,1.9644,0.0289,3.074,6.2891,0.4846,5.9736,0.8823,0.3546,0.0113,0.1108,0.077,0.0122,0.0406,0.5076,0.0219,0.0347,0.0204,0.0094,0.0003,0.0131,0.0019,0.1237,7.8935,0.3108,0.4876,6.777,0.0668,0.0043,0.0023,0.0021,0.0213,2.9814,0.1554,0.2652,0.0197,1.3814,0.3526,0.1032,0.0162,3.9285,0.2339,0.0641,0.197,0.2483,0.0
LAO_E,1.9297,0.0346,2.9176,4.9116,0.4261,5.3938,0.6155,0.1903,0.0056,0.0812,0.0434,0.0096,0.0202,0.2678,0.0096,0.0232,0.0126,0.0046,0.0001,0.006,0.0012,0.0382,6.2206,1.1299,0.4679,3.748,0.1117,0.009,0.0032,0.002,0.0234,3.2265,0.055,0.1487,0.0117,1.0593,0.4336,0.0698,0.0127,3.7604,0.2136,0.042,0.1483,0.214,0.0
LAO_F,0.305,0.006,0.1803,0.2471,0.0478,0.0176,0.0587,0.0046,0.0002,0.0009,0.0,0.0,0.0,0.0001,0.0005,0.0016,0.0032,0.0014,0.0,0.0006,0.0002,0.002,0.3594,0.0407,3.6118,1.745,0.0081,0.0006,0.0003,0.0004,0.0049,0.2364,0.0157,0.0539,0.008,0.0234,5.0314,0.0329,0.0053,3.26,0.2169,0.0197,0.0207,0.0748,0.0
LAO_G,43.6064,3.1541,6.9009,13.9417,1.7254,62.4971,16.2818,11.8526,0.3024,3.3337,2.076,0.1954,1.0929,3.6491,1.1363,3.1397,0.9498,0.6442,0.0108,0.6847,0.0789,3.278,8.754,1.5088,76.2711,21.8095,10.1641,5.8663,2.8352,2.1049,0.4975,11.2985,0.455,2.0906,0.1321,4.7271,1.654,1.0038,0.9831,17.7545,0.8221,0.7185,0.3669,2.3888,0.0
LAO_H49,5.0221,0.187,1.4806,2.7327,0.3104,17.9304,2.5185,1.5583,0.039,1.2453,0.8158,0.1398,0.4266,0.6446,0.1869,0.5249,0.0742,0.0479,0.0019,0.2242,0.0312,0.5302,2.3092,0.3854,18.297,35.1145,4.4545,0.5428,0.2662,0.1803,0.313,3.5739,0.172,0.8649,0.745,7.4726,0.6737,2.1679,0.8456,18.5214,1.086,0.1082,0.1445,1.414,0.0
LAO_H50,1.3846,0.093,0.2873,0.681,0.0828,1.2718,0.2036,0.3318,0.0065,0.0668,0.0452,0.0031,0.0238,0.2158,0.0467,0.1287,0.0088,0.0134,0.0004,0.0193,0.0024,0.1067,0.3932,0.0649,2.626,0.2014,0.1789,0.0675,0.0569,0.0165,0.0415,0.0977,0.0083,0.0381,0.0303,0.165,0.0399,0.1402,0.1031,0.0682,0.0466,0.0187,0.0064,0.0476,0.0
LAO_H51,0.1275,0.0085,0.0209,0.0671,0.0049,0.0311,0.0287,0.0131,0.0117,0.0157,0.0007,0.0065,0.0128,0.0194,0.0057,0.0107,0.0101,0.0002,0.0,0.0013,0.0001,0.0047,0.0185,0.0049,0.1222,0.0264,0.0157,0.0111,0.0109,0.0056,0.0069,0.0235,0.0128,0.0113,0.004,0.0236,0.0104,0.0239,0.0208,0.0083,0.0071,0.0008,0.0138,0.0212,0.0
LAO_H52,0.3805,0.0261,0.1262,0.2185,0.0253,1.5261,0.22,0.1472,0.0038,0.1103,0.0628,0.0165,0.0365,0.0569,0.0104,0.0298,0.0114,0.0055,0.0002,0.007,0.001,0.0414,0.1932,0.0351,1.5403,3.0495,0.4003,0.0911,0.0296,0.0727,0.0259,0.2875,0.0166,0.098,0.062,0.5358,0.0528,0.1404,0.0938,1.5203,0.076,0.0075,0.0092,0.0909,0.0
LAO_H53,0.1821,0.0059,0.0027,0.0044,0.0008,0.1058,0.0281,0.0209,0.0005,0.0153,0.0084,0.0034,0.0049,0.0024,0.0001,0.0006,0.0023,0.0007,0.0,0.0001,0.0,0.0027,0.1048,0.0249,0.0612,1.6539,0.0357,0.0041,0.0013,0.0025,0.6274,0.1199,0.0437,1.5593,0.0266,0.7947,0.0008,0.0777,0.0195,2.5336,0.1141,0.0024,0.0328,0.091,0.0
LAO_I,0.027,0.0013,0.0006,0.0006,0.0002,0.0075,0.001,0.0026,0.0004,0.0025,0.0013,0.0006,0.0009,0.001,0.0001,0.0005,0.0002,0.0,0.0,0.0005,0.0001,0.0008,0.0253,0.0029,0.0227,0.1648,0.0067,0.0012,0.0004,0.0001,0.0007,0.0838,0.0037,0.006,0.0344,0.1074,0.0054,0.0637,0.0201,0.3911,0.0199,0.0006,0.0022,0.0115,0.0
LAO_J58T60,0.0141,0.0004,0.0001,0.0001,0.0,0.0197,0.011,0.0735,0.0013,0.0108,0.0022,0.0008,0.0009,0.0012,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0116,0.0033,0.0071,0.0447,0.0681,0.0018,0.0001,0.0001,0.0001,0.0036,0.0255,0.0128,0.0506,0.003,0.0307,0.0005,0.012,0.0014,0.1578,0.0103,0.0007,0.0047,0.0044,0.0
LAO_J61,0.71,0.0236,0.0129,0.0153,0.0031,0.3192,0.0857,0.0688,0.0014,0.0442,0.0234,0.0087,0.0156,0.0078,0.0004,0.002,0.0063,0.0019,0.0,0.0004,0.0001,0.0088,0.2496,0.0637,0.2576,4.7778,0.1554,0.0159,0.006,0.0083,0.0594,0.5761,0.237,4.8152,0.1475,2.1471,0.0025,0.2719,0.0662,6.4403,0.3706,0.0103,0.1085,0.2451,0.0
LAO_J62_63,0.0087,0.0003,0.0021,0.0033,0.0006,0.0841,0.0095,0.0024,0.0001,0.01,0.0038,0.0015,0.003,0.0007,0.0003,0.0011,0.0003,0.0001,0.0,0.0003,0.0001,0.0007,0.0052,0.0007,0.0333,0.2109,0.0147,0.001,0.0005,0.0004,0.0011,0.0225,0.0018,0.019,0.0194,0.1654,0.007,0.0078,0.0022,0.1767,0.0103,0.0003,0.0009,0.0072,0.0
LAO_K,3.9408,0.0819,1.5432,2.0989,0.2857,3.3418,2.5745,1.8851,0.0397,0.7479,0.4007,0.1134,0.2388,0.2932,0.0391,0.1202,0.1777,0.0741,0.0005,0.0228,0.0037,0.3165,1.9109,0.2744,6.0815,44.6871,2.8773,0.3291,0.1453,0.119,0.0612,10.3342,0.227,0.7156,0.2772,127.8047,2.1063,0.794,0.3378,14.5242,0.7808,0.0275,0.2071,1.5289,0.0
LAO_L,0.1969,0.0057,0.0034,0.0049,0.0011,0.1252,0.0706,0.0313,0.0006,0.0243,0.0129,0.0045,0.008,0.0033,0.0003,0.0018,0.0019,0.0007,0.0,0.0005,0.0001,0.0079,0.0145,0.0289,0.0935,6.577,0.0793,0.0051,0.0025,0.0017,0.0038,0.855,0.0587,0.0528,0.0276,2.4796,0.706,0.0822,0.0198,1.0139,0.5308,0.0015,0.0596,0.163,0.0
LAO_M,0.1261,0.0041,0.0238,0.0293,0.0082,0.5968,0.0494,0.0217,0.0008,0.0948,0.0402,0.0264,0.0298,0.0065,0.0026,0.0091,0.0025,0.0007,0.0001,0.0041,0.0008,0.0027,0.0369,0.0069,0.2766,1.4391,0.0981,0.0074,0.0034,0.0021,0.0039,0.1561,0.013,0.058,0.0474,0.6245,0.0965,0.1969,0.0266,1.0622,0.0734,0.0032,0.0101,0.0502,0.0
LAO_N,0.0792,0.0023,0.02,0.0322,0.0072,0.399,0.0442,0.0196,0.0006,0.0363,0.0178,0.0085,0.0167,0.0049,0.0015,0.0069,0.0016,0.0005,0.0,0.0017,0.0003,0.0052,0.0338,0.0077,0.2467,1.1161,0.1059,0.0098,0.0047,0.0057,0.0061,0.1755,0.0092,0.0599,0.0367,0.4185,0.0844,0.1095,0.0687,0.6719,0.0603,0.0037,0.0117,0.0428,0.0
LAO_O,0.0026,0.0001,0.0004,0.0006,0.0001,0.0044,0.0029,0.0017,0.0,0.0005,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0018,0.0007,0.0,0.0002,0.0,0.0006,0.0011,0.0006,0.0006,0.0005,0.0,0.0001,0.0001,0.0001,0.0001,0.0029,0.0008,0.0005,0.0007,0.0014,0.0005,0.0017,0.0005,0.6477,0.0114,0.0,0.0008,0.0005,0.0
LAO_P,0.0018,0.0001,0.0003,0.0003,0.0001,0.0041,0.003,0.0023,0.0,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0004,0.002,0.0008,0.0,0.0,0.0,0.0004,0.0013,0.0002,0.0009,0.0102,0.0007,0.0002,0.0001,0.0001,0.0002,0.005,0.0002,0.0022,0.0003,0.01,0.0005,0.0006,0.0002,0.0402,0.012,0.0,0.0002,0.0007,0.0
LAO_Q,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0006,0.0003,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0
LAO_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0027,0.0004,0.0,0.0001,0.0001,0.0,0.0003,0.0001,0.0099,0.0004,0.0,0.0013,0.0002,0.0
LAO_S,0.8857,0.0376,0.1447,0.1979,0.0481,3.6701,0.6993,0.1877,0.0036,0.0414,0.0216,0.0082,0.0139,0.0338,0.0078,0.029,0.0069,0.0021,0.0002,0.0092,0.0015,0.0408,0.184,0.0353,0.884,0.6082,0.3174,0.0268,0.016,0.006,0.0061,0.5784,0.0134,0.0574,0.0071,0.0618,0.0172,0.0191,0.0077,0.5594,0.0222,0.0102,0.0108,0.0588,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
