V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_C23,133.9056,0.2841,16.8931,39.7938,0.1754,243.6622,27.1789,93.4054,32.4594,26.5488,93.5336,13.6987,292.8856,1458.8922,127.8144,228.7783,49.074,181.8107,76.3831,128.737,19.9217,196.8472,65.4857,64.4783,4804.3806,594.7603,121.9478,0.7945,2.3399,27.2401,3.0712,26.2553,4.8404,19.5717,3.9654,36.4168,164.6643,96.7183,33.3611,30.7011,24.0005,46.785,10.0284,108.3588,0.0
POL_C24,7.4744,0.028,22.8485,198.996,0.0,29.2376,9.7875,15.3249,7.3845,6.5182,8.6767,0.7027,55.3821,38.0379,1449.0227,1927.9457,192.7579,428.4675,461.3298,583.5317,100.0355,212.7414,25.1958,206.938,492.8808,161.6202,46.473,0.4852,0.8725,5.8314,0.6249,0.1833,1.198,5.642,0.8089,0.5515,9.5132,35.1045,12.865,9.227,2.1456,1.3483,0.4504,11.6575,0.0
POL_C25,230.2983,0.7987,127.7553,68.0375,0.4555,377.9953,24.6168,132.9835,52.3031,28.4645,75.13,10.6433,218.4182,88.9869,287.6418,2077.3647,114.3329,454.1699,828.9937,2023.7941,142.5781,667.1557,175.0815,71.0252,2685.72,692.5547,133.2597,2.9537,12.9697,45.734,9.256,19.8175,13.4727,26.4715,14.9059,24.0715,169.2731,160.4658,55.0259,218.1833,26.9459,48.0363,21.7901,65.0957,0.0
POL_C26,15.8963,0.1696,7.5867,6.7482,0.0874,25.7221,4.343,6.9744,10.584,9.5856,9.5451,3.0264,18.3267,11.4797,20.8128,38.8326,1294.7813,274.2863,77.0995,88.0709,7.1068,78.0409,63.5679,8.4161,195.7675,125.9576,40.1138,1.4582,4.7161,14.0231,1.6526,4.6087,11.9109,448.7416,94.7091,23.4159,16.0265,61.1669,20.4204,47.1533,22.9458,61.6268,11.432,37.6285,0.0
POL_C27,40.2286,0.5918,23.9016,20.5956,0.2037,49.2099,7.1952,14.2233,14.9399,19.9865,16.415,4.0606,34.7051,38.0162,74.426,81.1072,602.9653,593.1389,184.1473,203.7279,21.28,108.6329,155.9068,15.0244,625.4305,217.7849,143.6109,3.426,10.4375,23.7383,2.6895,9.4849,6.0739,119.5367,26.9301,14.8282,35.4918,55.6833,20.0389,55.4007,27.6461,43.484,10.3796,48.5891,0.0
POL_C28,124.5634,0.9304,59.4028,60.2461,0.2723,99.1549,24.995,25.7414,38.2956,28.4474,35.4595,7.4933,51.2315,35.7034,66.6837,221.6344,51.829,137.5563,299.2379,738.4439,52.7098,279.639,104.001,28.191,445.1345,246.0537,109.8924,3.1451,14.6061,33.3522,2.5769,13.5471,11.1665,21.9664,13.5673,18.7905,39.4826,63.1843,34.7291,32.7563,11.5051,18.5867,16.6735,15.2656,0.0
POL_C29,42.1764,0.3183,9.1945,17.3384,0.1007,58.0374,11.5741,12.8209,10.7951,4.958,12.2372,3.6249,67.7584,20.3875,15.7016,87.9352,45.3521,77.1761,105.5425,5046.9475,22.3399,364.2667,29.6935,33.6399,247.3018,449.0151,1045.8634,0.6583,2.0862,96.3226,8.0571,7.0305,6.59,21.9106,9.6333,44.5519,15.2667,37.2855,38.5025,35.8852,12.1359,10.0364,5.9542,18.4925,0.0
POL_C30,8.6567,0.5784,12.2707,9.5077,0.0,0.6037,0.0,0.1199,0.263,0.2266,0.1009,0.2992,3.1226,0.1626,0.7684,3.216,1.2472,2.0067,1.527,2.0567,408.3351,74.0418,2.6687,1.3151,3.1226,2.0631,141.1965,12.8426,35.802,14.7652,1.504,2.1952,0.1062,0.1689,0.2746,0.0,0.1176,0.9568,0.7965,80.1445,0.4649,0.4169,0.9169,0.0454,0.0
POL_C31T33,141.0254,6.7788,181.9752,229.3098,0.4973,249.6034,42.8676,119.9156,105.9296,74.8259,96.1355,46.5171,141.1464,142.2505,210.938,351.309,71.6752,248.779,230.3973,333.6975,66.9457,1004.5473,384.8608,65.042,951.8003,548.7055,227.8676,22.4939,110.2811,147.2505,10.6216,76.5974,37.5856,77.4441,54.203,58.001,115.44,212.9875,126.07,107.266,116.4323,582.9792,174.7416,97.0228,0.0
POL_D,695.4749,2.7049,427.6758,354.8206,211.248,1086.1053,185.1789,262.8466,371.5687,75.3971,904.6381,76.5518,489.0513,759.1593,1010.3274,483.3137,99.1402,181.6096,261.1521,336.4184,101.0222,284.1477,972.0134,422.4539,804.4998,1498.9367,682.3947,3.4345,11.3835,436.9453,48.417,342.1525,77.8593,224.1171,56.7007,102.0144,5077.0476,309.0358,269.8627,392.9305,674.6878,1022.7742,284.1284,97.208,0.0
POL_E,60.8844,0.3639,56.9592,48.4929,0.7397,222.5922,52.6533,23.9328,105.6138,36.026,92.1402,24.7914,70.2579,180.2043,408.0865,241.1811,24.6283,62.1419,64.8789,74.6508,21.1278,64.2231,267.5796,982.6308,463.2418,575.1262,182.9229,1.3795,3.5624,101.5182,5.0489,95.2572,16.8346,30.8197,27.3456,29.1031,1736.4116,143.6041,229.7365,98.7443,74.0419,122.0931,66.7597,72.1883,0.0
POL_F,267.159,1.1555,86.4137,127.031,0.3442,359.9243,53.1438,111.8332,123.9239,57.5201,157.1958,19.0393,233.7698,295.7639,116.6971,583.549,60.7575,405.8015,242.1129,259.0211,54.1665,453.6296,3443.9551,277.6798,23495.883,2371.3657,146.8275,3.2452,13.7905,241.4167,41.1576,200.574,23.8633,363.3739,60.1774,106.084,3676.4377,2324.0313,285.1249,2160.9029,565.6519,436.8538,212.1451,202.7593,0.0
POL_G,3087.7041,15.859,178.7973,226.0895,13.9019,8014.8185,684.583,761.8701,922.9339,1267.3073,1190.039,356.4766,1615.2043,983.1849,904.9555,1264.6128,1013.3184,936.0305,663.5116,2776.1357,198.7105,1513.9536,1176.1648,343.4135,5806.5848,5713.9672,3727.9792,23.3852,88.713,655.3389,62.1661,1078.9897,375.8764,663.4669,306.3672,677.483,726.5948,1552.8137,645.3303,577.851,399.9653,937.1159,240.7928,468.9006,0.0
POL_H49,581.8194,1.3278,153.4267,237.7854,1.417,976.1028,89.1086,428.4564,500.7906,616.9444,444.4744,34.1428,408.4755,596.7002,430.1957,412.8969,143.4695,308.7702,197.5415,311.2037,41.5998,360.0749,1279.4332,303.0595,1778.6605,3403.015,1412.6257,6.4938,17.7859,1849.4975,96.9486,86.4642,41.4108,45.6882,29.3551,103.1357,157.524,255.6402,809.877,323.4839,227.7896,151.8483,53.7016,130.758,0.0
POL_H50,12.9365,0.1328,1.0866,2.9882,0.1393,22.7163,3.4427,4.6093,7.4287,29.2227,12.32,1.3908,9.6654,7.3276,10.8936,9.7175,8.109,6.8877,5.2494,17.8706,1.3668,8.7902,16.6873,1.9802,26.7692,26.1772,12.4563,1.9563,1.1487,11.0029,0.5729,2.4083,1.0897,1.7652,0.5466,1.7783,2.3083,3.1516,22.864,1.8021,1.0249,3.3442,0.7995,1.687,0.0
POL_H51,9.7891,0.0768,0.841,2.2448,0.1054,17.7234,2.6291,3.0512,4.7494,21.3486,7.7554,1.0677,7.1798,5.0744,8.3352,7.1717,6.1742,5.0547,3.9048,13.0151,1.0429,6.8209,13.0134,1.2904,21.3227,17.4704,9.2355,0.2324,1.8999,8.6682,0.7982,1.8918,0.8528,1.3385,0.6359,2.039,1.7818,2.9198,32.6554,1.7618,1.0468,2.6148,0.7392,1.3448,0.0
POL_H52,152.5381,1.381,96.4697,168.082,0.1797,587.2981,29.3898,31.2323,104.6751,263.3766,167.8004,35.4293,96.0459,144.7931,334.3596,73.4016,32.3392,131.4711,63.0834,160.986,27.9562,65.3671,170.9397,123.6533,397.9814,4365.8013,522.0965,109.893,276.4761,2121.3826,22.4753,34.7542,60.0675,89.9445,1.3838,28.0796,101.8661,187.7379,157.2954,41.1623,17.6707,42.0437,26.0774,43.4121,0.0
POL_H53,11.9735,0.0641,10.8796,16.9801,0.0,43.7019,6.2863,2.679,9.7146,8.5831,7.0982,2.2218,12.6121,13.4019,37.3546,10.7867,9.1927,16.5491,13.4072,14.0874,2.8934,48.7537,47.4131,10.1312,80.7448,289.6477,26.9298,1.4041,4.1603,119.4983,86.404,4.72,10.4427,20.5701,18.5381,29.0673,10.8637,32.4491,37.0545,19.3402,11.1747,9.4406,3.6088,21.4742,0.0
POL_I,10.3486,0.0599,21.3823,5.6797,0.0191,61.1565,10.0614,5.115,14.3263,6.4307,14.7139,6.8906,16.8367,16.1617,5.1846,21.8967,4.4073,29.2315,19.3819,17.9624,5.5357,38.4352,13.8331,10.8306,259.1426,324.9894,86.805,3.2412,28.2852,87.6763,2.2069,122.55,19.1959,15.0157,38.2273,53.7921,15.039,151.1712,379.7687,47.9026,61.8069,127.7868,64.2384,13.0404,0.0
POL_J58T60,26.3176,0.1975,16.4484,9.7004,0.0279,162.7808,19.7129,9.4874,105.6888,16.2943,57.0434,128.5993,37.3428,34.0672,16.0847,38.5843,5.2055,40.7752,21.3663,46.6268,15.9613,31.5308,47.2542,20.8659,88.5557,672.4571,52.2241,1.8154,8.8485,46.8216,4.8646,55.8123,1437.6447,249.2387,178.2568,283.3566,92.6209,665.1947,59.8906,102.6337,203.4375,93.4988,84.4608,141.2136,0.0
POL_J61,39.1884,0.8083,7.8314,9.0876,0.0204,122.0388,31.6985,34.5804,30.5435,12.2006,113.0658,13.4414,36.3248,38.7958,16.4224,138.6525,13.9475,37.428,34.6409,115.837,12.9274,102.5079,109.1252,43.3081,273.3867,802.148,237.3461,3.2572,12.5068,271.3502,37.3985,38.054,138.4034,1000.3018,225.9618,715.9485,143.2529,278.6769,134.7879,198.8464,83.6559,204.7588,69.4853,179.285,0.0
POL_J62_63,20.2987,0.1337,19.5053,6.411,0.0689,130.7804,10.1277,12.8799,59.2161,16.8374,38.3424,28.556,56.0191,22.0158,29.9289,47.5119,37.7674,45.9005,17.7011,54.1559,11.1794,41.9655,102.6098,10.7577,129.5586,614.88,31.3458,1.6664,5.1189,30.3067,33.6309,26.5158,383.2526,338.7033,779.358,532.4145,132.5899,515.7276,43.5826,55.6939,89.8315,51.0113,52.1644,47.0105,0.0
POL_K,480.1827,1.8275,84.6977,66.1699,0.0583,478.6626,84.4564,91.0959,129.7939,115.5861,97.8341,47.792,153.3939,129.6093,145.2234,256.4339,88.755,120.7119,98.4504,223.0262,45.2511,187.0345,286.6216,128.0368,897.8871,1712.8038,475.4567,22.038,86.8588,298.9954,28.0995,90.1022,148.0739,403.7256,110.8072,5025.1883,480.2847,650.5919,334.6411,363.9108,265.4276,289.7955,199.9631,176.5755,0.0
POL_L,51.2958,1.2236,6.6199,11.8377,0.5126,149.5373,38.3486,36.5163,38.9564,15.2717,50.3263,12.05,53.0227,40.3418,23.6308,79.1532,17.5616,50.396,45.8044,52.1007,16.0511,143.1342,122.8819,74.3689,461.8937,2197.7177,79.2314,2.0966,7.1978,175.0502,15.4034,205.4266,89.0837,288.4934,139.7804,619.2404,683.3109,547.1604,242.6701,130.1232,264.6349,624.4426,232.4283,132.0296,0.0
POL_M,185.0374,1.002,84.1709,84.023,0.1408,780.0848,133.6351,94.2776,268.0769,93.7314,277.7542,394.728,277.4499,250.3116,303.8494,444.2054,100.6068,306.4886,338.1695,452.6201,149.6331,329.3486,677.9649,125.623,1565.2741,3665.0966,336.832,6.5757,22.7739,222.7024,19.2772,161.4571,371.8369,1016.1763,394.6524,607.4943,441.7485,5099.238,406.3635,187.7398,273.8596,345.9485,185.6347,133.1807,0.0
POL_N,79.1454,1.3845,65.0533,59.3931,0.0693,414.1551,62.4479,72.5977,141.7206,55.7738,104.595,144.4159,125.0527,108.9068,102.7247,159.5513,107.2995,104.8955,76.0829,155.7378,32.3425,159.4488,344.2998,133.1258,647.4383,1372.495,380.6195,19.529,76.8256,233.8833,23.915,129.6823,154.6222,703.287,192.7511,298.6158,329.4417,783.2373,1273.7999,96.5511,185.1497,244.7357,286.2477,275.8508,0.0
POL_O,36.3018,0.0326,20.342,23.0344,0.0,65.8159,22.8764,11.8866,22.8539,8.4065,21.2244,6.2081,31.3246,24.2253,19.4359,23.3932,26.8418,27.9914,19.9927,24.2736,9.2991,31.9528,86.539,27.8364,40.0303,408.9155,58.724,1.9476,5.2789,39.8871,4.9482,32.5963,32.0245,30.001,42.2575,48.6799,42.3212,190.2586,59.9607,69.8711,34.5877,44.1513,15.0414,24.389,0.0
POL_P,7.7789,0.0783,2.4743,3.3498,0.0027,25.2173,3.7368,2.3809,12.0338,5.5298,15.9338,5.8507,9.6673,9.3177,6.3346,12.4666,5.8101,23.4285,12.6768,19.9224,3.8868,9.6193,18.6951,7.5577,56.2049,158.184,10.8718,0.2493,0.9015,15.5509,1.0765,14.641,8.0182,32.134,38.0668,63.2169,11.0543,269.9105,30.0246,17.187,824.43,20.6023,25.569,10.2554,0.0
POL_Q,22.2759,0.1765,2.4132,3.4136,0.0142,46.4906,5.7482,4.024,7.0905,2.5719,6.8531,6.9479,7.5016,6.6602,16.8087,12.4759,2.9725,11.2642,7.9888,10.2787,2.6526,11.646,28.4602,7.4759,39.5525,106.9567,16.0905,0.4246,1.4269,15.3758,1.6307,20.0614,5.7251,16.4585,17.9444,19.4183,14.1202,109.5467,23.7582,53.527,23.4611,2017.8093,18.4198,7.7979,0.0
POL_R,6.9748,0.0601,3.7185,1.0634,0.0204,24.6114,2.7603,1.7907,7.3582,1.4529,5.2653,2.8849,4.3429,3.6876,2.3529,5.0485,2.0321,3.5724,2.6952,3.6661,3.226,4.6177,8.043,2.6904,22.1421,41.5153,6.2999,0.2007,0.6399,5.4519,0.3926,14.7004,17.5575,4.135,7.7857,6.9535,9.3741,31.9298,19.064,19.6636,20.0986,10.7909,1145.6833,48.4048,0.0
POL_S,62.8072,0.2882,22.4242,10.3051,0.0331,143.4896,19.362,26.2699,33.5893,28.1215,17.0451,6.8316,31.4122,43.5074,19.301,37.9545,12.3904,24.292,20.3619,20.7859,5.1724,48.2721,43.6775,22.0656,107.3131,358.8292,27.6868,0.517,1.6214,20.8343,1.7937,54.9315,36.2185,51.4769,31.1184,32.9995,36.7529,103.5069,31.0999,10.7746,28.411,132.4445,42.3875,52.1509,0.0
POL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
