V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_C25,32.6894,1.4432,0.8748,0.0394,0.0355,59.9239,12.432,5.7883,5.2098,11.4919,19.7879,5.4349,6.4332,12.9653,9.6748,127.4946,4.3466,38.9345,31.6649,5.3399,55.178,19.4356,25.6297,6.4082,72.4162,77.5182,14.3899,4.7795,3.0513,10.1384,0.6277,19.0627,14.7428,21.1315,5.7318,33.619,5.7664,33.0802,11.2267,27.4918,9.7161,14.8793,12.2951,13.8388,0.0
HRV_C26,10.7516,0.7907,0.495,0.0377,0.0325,6.443,1.0063,0.9364,1.6623,5.4206,2.275,0.8971,0.7716,2.7306,0.7988,4.7358,19.0447,22.0431,3.9729,0.5124,7.2981,11.2579,9.1187,3.5037,13.5657,12.9542,8.6255,6.0303,2.3562,4.2046,0.2558,4.7266,1.8873,15.478,1.0338,0.5761,1.1867,8.2364,1.6827,4.7599,0.5402,10.7469,0.7293,3.8275,0.0
HRV_C27,3.0613,0.2231,0.0832,0.0049,0.0045,2.7048,0.3979,0.2884,0.5566,1.0708,0.5911,0.3091,0.8088,1.9742,0.3575,3.9473,20.5035,54.0754,6.8582,1.6473,14.5305,11.961,5.6896,1.6309,28.24,22.9648,2.4187,19.3931,0.5335,3.1257,0.0419,2.2606,0.7456,4.2151,1.0686,1.1447,1.975,4.6974,2.1367,3.1517,0.315,2.2352,0.473,3.0621,0.0
HRV_C28,6.7896,0.6214,0.3951,0.0216,0.0215,11.7637,1.9778,1.2003,1.8935,2.3167,1.6203,1.2374,1.0571,2.8247,1.2925,11.205,1.1223,9.4475,17.5489,6.6357,19.189,5.8788,3.8663,1.4064,22.217,34.7454,3.2449,2.9265,0.6176,2.837,0.2745,11.3892,17.1743,29.9116,1.2869,13.6568,0.7522,8.8039,3.2845,10.4392,1.3871,3.0533,3.8935,2.4978,0.0
HRV_C29,2.2726,0.1458,0.2109,0.0196,0.0165,2.7893,0.426,0.3279,0.4001,1.0762,0.4755,0.2393,0.3267,0.7167,0.3484,2.0716,0.2691,2.0379,4.0575,9.9164,7.3443,0.9743,1.4037,2.8784,7.3811,10.0309,7.109,0.4599,0.0576,1.7431,0.1673,1.6684,0.7344,0.3616,0.1767,1.838,0.3652,2.1373,2.2043,1.8576,0.1436,0.4879,0.316,0.3742,0.0
HRV_C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,5.0036,0.0,0.0668,176.8588,6.4592,0.0,0.0479,0.2428,72.2724,0.0276,0.1452,1.0244,0.0668,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,1.4826,0.149,91.8613,0.0,0.0,8.8743,0.0,0.0
HRV_C31T33,22.1719,2.5132,0.524,0.0209,0.0223,16.4628,3.7238,15.3104,3.0704,8.6007,5.3938,2.9367,2.3771,10.4633,2.5781,15.4244,2.5267,11.9907,5.901,2.6728,8.1607,22.5277,13.8786,7.6863,80.5615,20.7912,18.1154,1.0114,4.8821,6.9031,0.0727,10.3514,3.3161,30.9935,0.3917,3.1015,3.2794,14.3409,1.5316,8.6473,1.4571,71.0173,1.8667,5.276,0.0
HRV_D,77.488,10.7968,5.6011,0.2964,0.2378,114.4268,25.8694,20.3031,32.7648,29.2426,83.8037,20.4266,11.4117,55.7842,20.4844,30.7785,7.4328,25.2412,16.9792,2.9252,17.0141,26.4667,288.0952,33.0586,130.8742,426.6198,136.0625,19.8708,16.9777,90.3736,5.0617,149.9944,34.0986,86.404,18.1417,97.3169,59.1639,175.9698,107.7082,231.0181,69.1169,104.4105,51.2075,44.4526,0.0
HRV_E,6.2032,1.3931,0.4111,0.1324,0.0229,13.1687,3.2184,5.4257,20.9088,1.9112,3.0373,1.0408,15.8559,8.6876,19.105,2.5432,0.9205,1.9436,3.0672,0.1809,3.0785,1.5815,34.3035,47.2923,21.9468,104.7346,7.1295,0.7782,0.4797,10.4646,1.5295,59.6607,2.4076,1.1875,0.6857,1.4508,37.2073,48.068,5.9926,37.3637,8.3475,42.1142,15.2376,23.7813,0.0
HRV_F,12.5907,1.0775,3.5836,2.3523,0.1641,33.2371,6.3741,5.9846,5.9747,16.9411,8.348,3.601,3.7924,22.4185,3.4883,11.218,3.2737,6.5855,3.7984,1.0398,8.1115,6.6544,21.5542,22.3987,518.0935,77.5583,6.6558,1.7695,0.8791,42.8619,1.4989,45.1318,2.469,3.9808,3.4413,23.5376,74.5363,232.7306,15.6985,79.5494,32.4963,41.9766,17.6816,29.6674,0.0
HRV_G,245.0143,25.5266,28.8271,5.231,2.2291,434.9231,74.2844,42.4777,58.6211,153.4523,75.3097,37.6114,56.3269,118.6528,44.2329,137.3708,72.2192,93.9565,54.0549,31.0097,162.5472,63.5199,449.0938,55.1294,528.0285,372.4972,137.8242,44.2617,17.9169,46.8421,8.9101,150.7166,43.1722,8.9542,13.062,119.6162,48.1689,120.7003,70.461,214.8147,15.6427,165.9367,25.1832,46.7472,0.0
HRV_H49,24.7787,3.9404,8.1524,0.8412,0.6758,67.2482,10.7449,9.2974,10.751,43.7075,16.4405,4.7697,8.9792,18.1722,8.1555,21.4877,4.6851,12.4876,6.7443,2.7695,16.3065,8.5077,48.5483,7.571,77.4797,81.8337,30.6625,3.743,1.913,31.9825,6.064,13.7646,7.3068,1.6111,1.0178,7.0268,6.4672,14.6024,21.6815,37.7307,4.5099,13.064,3.0955,7.0458,0.0
HRV_H50,1.3365,2.5089,0.6266,0.0401,0.0617,3.144,0.6764,0.4153,0.634,3.771,0.9035,0.2577,0.5674,1.2571,0.6083,1.1361,0.346,0.8519,0.4475,0.213,0.9329,0.5195,2.745,0.5231,3.3225,2.5265,3.0737,16.7005,0.0513,4.8576,2.9195,0.8586,0.155,0.3034,0.0406,0.3237,0.4182,0.541,0.3591,0.7652,0.1546,0.6661,0.5132,0.219,0.0
HRV_H51,0.804,0.2305,0.3591,0.026,0.0369,0.4374,0.1421,0.0777,0.136,1.8692,0.1599,0.0287,0.1987,0.2397,0.1929,0.2614,0.1064,0.237,0.0793,0.1035,0.1969,0.1214,1.197,0.1726,1.3399,0.7705,0.3804,1.1894,0.0547,0.3641,0.2081,0.3936,0.115,0.0479,0.2174,0.6015,0.2647,0.2673,0.0886,0.3269,0.0298,0.3773,0.0827,0.1164,0.0
HRV_H52,10.9523,0.6069,1.4715,0.1447,0.0697,29.0791,4.5787,5.485,5.0004,7.7839,7.2856,1.9379,2.5082,13.8187,2.0959,6.4568,0.7942,4.7481,2.0089,0.3861,4.3512,2.3729,21.0029,1.4389,14.2884,88.5962,304.5003,3.0581,51.1168,57.3971,1.1102,2.1493,0.6181,0.7153,0.6913,2.6773,0.8859,5.1485,3.5252,4.2109,0.2648,1.5401,0.6911,1.6866,0.0
HRV_H53,1.7688,0.0,0.0651,0.0,0.0014,4.8073,1.232,0.4677,1.4566,0.4746,0.8714,0.5645,0.3329,1.1614,0.2179,1.3188,0.2996,0.4673,0.6758,0.0584,1.2346,0.7677,1.6783,2.4085,2.7603,26.4934,1.3923,0.3829,0.186,13.2891,0.3117,2.2443,3.0369,29.6404,2.2564,105.2188,0.163,17.9604,4.25,26.3712,1.5155,4.1709,3.4488,8.0031,0.0
HRV_I,0.136,0.1121,0.0083,0.0,0.0001,1.6432,0.2573,0.0858,0.0564,0.0363,0.2396,0.1497,0.041,0.1904,0.0374,0.2566,0.0755,0.1186,0.1419,0.009,0.2391,0.1505,0.333,0.568,2.7349,38.6465,1.0149,0.0024,0.5863,2.477,0.6864,12.1575,0.3357,0.4186,2.3457,0.2787,1.6051,5.2794,11.744,129.9409,4.2361,1.3808,2.7184,8.4551,0.0
HRV_J58T60,0.7018,0.0348,0.0897,0.0022,0.0025,20.3418,5.3031,1.0501,61.1241,2.0005,4.3612,3.5454,0.5653,2.4072,0.2289,1.9159,1.0642,2.0233,0.9228,0.1651,4.2166,2.4232,3.2218,0.7077,0.6261,92.2697,0.5234,0.0656,0.0255,0.3438,0.0254,2.9378,156.8775,29.5737,3.1502,0.1866,0.0411,10.6762,0.3633,32.3755,1.0426,0.4742,17.8438,0.3082,0.0
HRV_J61,5.0944,0.6099,0.2488,0.0014,0.0052,13.4901,4.6647,1.4582,4.4537,1.9688,3.1551,2.0405,1.3841,5.4711,0.8692,5.6009,1.8216,2.2152,1.4661,0.2367,6.905,2.9849,11.0861,4.5523,23.2936,171.2258,11.4052,0.3289,9.3571,17.2712,3.374,17.9528,14.5542,355.6802,60.4531,167.2463,6.1171,67.7656,25.7523,120.7559,15.6882,14.5497,13.7995,21.1748,0.0
HRV_J62_63,0.4032,0.0106,0.1355,0.0018,0.004,4.3912,2.4343,0.5713,2.0558,1.3185,1.5518,1.0156,0.7982,3.6022,0.4902,3.4494,1.2757,1.3753,0.2871,0.1394,5.1513,1.7171,7.4531,1.8886,6.697,89.1772,4.743,0.102,9.4253,3.5453,0.1013,4.8559,6.2585,0.5795,56.5647,146.6251,3.4085,27.8538,6.1756,61.3864,2.2017,3.6608,2.5672,4.585,0.0
HRV_K,32.3141,14.1594,1.0709,0.0134,0.0481,56.9825,16.2691,8.5048,9.4834,26.6124,14.3075,9.284,4.1112,17.466,4.1271,16.0726,3.7338,9.7251,7.1168,1.1981,19.4406,10.1689,23.4478,11.4998,1758.965,71.4198,7.691,11.5929,14.5677,19.2981,4.2324,19.6015,3.3129,11.6934,2.7751,119.0066,141.9539,30.8684,27.5154,106.8009,2.7009,8.6871,9.7017,9.2236,0.0
HRV_L,2.0535,1.0442,0.5859,0.0217,0.0262,24.9522,8.2305,3.5348,4.4091,3.8114,4.6287,2.3595,3.1135,8.8014,1.7626,11.5202,1.5527,5.9995,3.2584,0.4851,6.1745,6.0235,6.3966,3.2006,16.4846,354.4385,12.3727,0.8611,1.4559,7.8832,5.6652,22.5013,4.6036,36.3325,3.2595,16.4331,1.1709,88.1305,11.7758,80.8894,1.8563,1.6903,6.3257,10.7296,0.0
HRV_M,73.3401,8.2282,2.8852,0.0174,0.0711,250.9667,37.6503,16.5132,31.6291,28.4994,43.9895,27.1853,15.3676,44.2107,12.6134,39.2059,8.8629,32.5873,60.6484,1.7452,37.3536,25.9007,40.4371,46.1144,74.2174,914.6018,56.0347,1.5633,8.0625,41.4551,8.4212,123.5478,115.2549,55.3976,37.4455,260.6584,34.3607,841.5194,49.8327,169.2133,164.9989,44.313,87.5809,90.0634,0.0
HRV_N,10.1583,0.1407,0.299,0.0061,0.0067,47.8673,7.1842,5.7387,37.9391,3.3673,20.871,6.3033,2.6517,9.6776,1.5446,9.422,2.3116,6.5889,3.8537,1.1326,8.7527,5.3333,8.4176,9.3081,34.1193,109.0375,44.2962,4.0163,3.3018,30.5614,2.5919,35.404,21.6585,12.4604,8.7073,75.9886,9.7478,80.5877,227.1608,42.7567,32.1176,10.9217,31.3284,31.2741,0.0
HRV_O,30.7302,0.0937,0.0495,0.0437,0.001,14.2643,0.4862,0.1181,0.2664,0.2425,0.3678,0.1479,0.0874,0.6276,0.0497,0.2967,0.1106,0.1492,0.1166,0.0179,1.0534,0.1857,0.2903,1.4236,4.5852,18.0172,0.4303,0.0564,0.4924,1.8708,0.2839,2.223,6.9301,5.6158,0.0775,45.6136,3.1133,12.9313,2.4508,5.9175,0.3116,1.605,4.6197,1.5048,0.0
HRV_P,28.8271,0.0819,0.1623,0.0002,0.002,3.7188,0.6852,0.5357,0.7157,1.0322,1.1952,0.7654,0.1989,0.8326,0.3117,0.8937,0.3367,0.5796,1.0288,0.0348,1.5226,0.7199,2.9731,2.5098,4.7967,100.3602,1.3342,0.0784,0.3319,1.5785,0.1611,25.0135,2.1272,4.3725,4.6222,6.1506,0.8466,36.934,26.4456,155.3203,114.2943,10.5346,3.4054,8.0287,0.0
HRV_Q,5.7127,0.0317,0.0253,0.0001,0.0003,2.6037,0.3302,0.2472,0.163,0.1891,0.1232,0.1024,0.0743,0.1504,0.0264,0.1619,0.043,0.0829,0.094,0.0046,0.2896,0.077,0.2182,0.4001,2.113,10.162,1.0699,0.9987,0.0191,0.238,0.0199,3.6022,7.4289,2.0789,0.2744,4.718,0.7226,3.0396,16.4157,17.4783,8.0709,64.2376,5.4978,57.0159,0.0
HRV_R,9.0254,4.7188,0.1109,0.0043,0.0027,15.8934,1.497,1.6705,1.4616,1.6584,2.4512,0.9002,0.5762,1.3166,0.3401,1.1173,0.7298,0.9241,13.3548,0.1154,1.3096,0.7764,6.3823,0.6755,6.1255,21.0016,10.3336,1.7924,1.1017,2.476,0.517,14.8494,1.4703,4.4234,1.1807,9.1501,0.7816,8.3643,6.7611,6.2809,4.4999,5.4251,72.3049,12.9329,0.0
HRV_S,18.2356,1.1073,0.2227,0.018,0.0164,31.3472,7.3921,2.1304,2.0446,4.2368,1.1301,0.4367,1.2603,1.4002,1.255,1.3629,0.5634,0.8366,6.5328,0.1364,1.6145,1.5213,4.6542,3.7465,5.9264,32.7943,1.5362,0.4918,0.622,1.1138,0.4661,46.597,9.1556,5.4892,5.4017,10.0882,3.8586,6.647,14.8967,34.8971,5.951,9.0995,23.4491,24.6115,0.0
HRV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
